state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,account_duration,total_calls,total_min,avg_usage
NC,122,no,no,0,180.0,88,30.6,145.0,77,12.33,233.7,120,10.52,11.5,6,3.11,2,False,mid-term,285,558.7,1.9603508771929825
NJ,46,no,no,0,257.4,67,43.76,261.1,91,22.19,204.4,107,9.2,13.4,5,3.62,2,True,short-term,265,722.9,2.727924528301887
MN,150,no,yes,28,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11.0,4,2.97,1,False,mid-term,285,545.9,1.915438596491228
ID,99,no,no,0,159.7,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,1,False,mid-term,318,570.8,1.7949685534591193
AL,87,no,no,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11.0,3,2.97,1,False,mid-term,292,633.0999999999999,2.1681506849315064
AK,108,no,no,0,103.0,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,1,False,mid-term,321,515.5,1.6059190031152648
VT,101,no,no,0,153.8,89,26.15,234.0,89,19.89,196.3,77,8.83,11.6,2,3.13,4,False,mid-term,255,584.1,2.2905882352941176
PA,53,no,no,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,3,False,short-term,323,515.1,1.5947368421052632
AK,132,no,yes,39,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2,False,mid-term,305,588.4,1.9291803278688524
CA,158,no,no,0,155.9,123,26.5,224.2,112,19.06,221.0,116,9.95,8.6,8,2.32,2,False,mid-term,351,601.1,1.7125356125356126
MS,114,no,yes,34,154.4,109,26.25,221.4,142,18.82,208.5,103,9.38,10.3,5,2.78,0,False,mid-term,354,584.3,1.6505649717514124
AR,77,no,yes,23,209.7,73,35.65,183.6,63,15.61,205.5,111,9.25,7.1,3,1.92,2,False,short-term,247,598.8,2.4242914979757084
NV,144,yes,no,0,150.0,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,False,mid-term,263,626.5,2.38212927756654
AL,91,no,yes,23,232.4,97,39.51,186.0,88,15.81,190.5,128,8.57,12.3,3,3.32,3,False,mid-term,313,608.9,1.945367412140575
GA,58,no,no,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,False,short-term,305,474.90000000000003,1.557049180327869
AR,5,no,no,0,199.2,106,33.86,187.3,12,15.92,214.0,85,9.63,13.3,3,3.59,3,False,short-term,203,600.5,2.958128078817734
MA,97,no,no,0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0,False,mid-term,242,688.8,2.846280991735537
NJ,107,no,no,0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,7.7,2,2.08,3,False,mid-term,294,582.0,1.9795918367346939
MO,142,no,yes,30,154.0,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1,False,mid-term,255,589.8,2.3129411764705883
NY,9,no,yes,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1,False,short-term,330,587.5999999999999,1.7806060606060603
AZ,73,no,no,0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,False,short-term,320,545.9,1.7059374999999999
NJ,48,no,yes,22,152.0,63,25.84,258.8,131,22.0,263.2,109,11.84,15.7,5,4.24,2,True,short-term,303,674.0,2.2244224422442245
WV,43,no,no,0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0,False,short-term,368,545.3,1.4817934782608695
NM,122,no,yes,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1,True,mid-term,324,587.7,1.813888888888889
SC,93,no,no,0,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0,False,mid-term,224,582.4,2.6
VT,85,no,no,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,False,mid-term,295,620.9,2.104745762711864
TN,59,no,no,0,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,5.0,5,1.35,3,False,short-term,257,685.5,2.667315175097276
LA,87,no,no,0,228.7,90,38.88,163.0,99,13.86,154.1,90,6.93,11.8,3,3.19,1,False,mid-term,279,545.8,1.9562724014336916
OH,137,no,no,0,144.0,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,False,mid-term,283,453.70000000000005,1.6031802120141345
OR,21,no,yes,31,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,9.5,7,2.57,6,False,short-term,263,586.0,2.2281368821292777
DE,129,no,no,0,334.3,118,56.83,192.1,104,16.33,191.0,83,8.59,10.4,6,2.81,0,True,mid-term,305,717.4,2.3521311475409834
KY,104,no,no,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13.0,6,3.51,0,False,mid-term,257,526.4,2.048249027237354
GA,93,no,yes,21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,4,True,mid-term,323,483.29999999999995,1.496284829721362
VT,63,no,no,0,278.0,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4,True,short-term,334,768.5,2.3008982035928143
OR,161,no,no,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,False,mid-term,318,543.8000000000001,1.7100628930817612
TX,50,no,no,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,False,short-term,322,544.6,1.691304347826087
MO,103,no,yes,24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1,False,mid-term,268,619.7,2.312313432835821
ND,84,no,yes,33,159.1,106,27.05,149.8,101,12.73,213.4,108,9.6,13.0,18,3.51,1,False,mid-term,315,522.3,1.6580952380952378
MN,92,no,no,0,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9.0,4,2.43,1,False,mid-term,328,658.3,2.007012195121951
NV,77,no,no,0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,False,short-term,305,645.1,2.115081967213115
NY,64,yes,no,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,True,short-term,236,871.6999999999999,3.69364406779661
FL,159,no,yes,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,False,mid-term,385,454.40000000000003,1.1802597402597403
KS,110,yes,yes,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,True,mid-term,283,709.3000000000001,2.506360424028269
NV,138,no,no,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17.0,4,4.59,3,False,mid-term,360,511.1,1.4197222222222223
NV,178,no,no,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1,False,long-term,338,610.0,1.8047337278106508
SC,38,no,yes,31,197.2,118,33.52,249.9,70,21.24,298.9,104,13.45,3.9,2,1.05,0,False,short-term,292,746.0,2.5547945205479454
MI,50,no,yes,35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,False,short-term,299,544.0,1.8193979933110367
MI,45,no,yes,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,False,short-term,326,305.6,0.9374233128834356
TN,70,no,no,0,126.3,99,21.47,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,0,False,short-term,301,523.8,1.7401993355481726
NY,147,no,yes,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,False,mid-term,304,699.0,2.299342105263158
NV,94,no,no,0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,False,mid-term,300,487.59999999999997,1.6253333333333333
IL,179,no,no,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,False,long-term,303,499.79999999999995,1.6495049504950494
MS,116,no,no,0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,False,mid-term,262,581.5,2.219465648854962
ND,59,no,no,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0,False,short-term,284,587.7,2.0693661971830988
NC,165,no,no,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,False,long-term,294,427.0,1.4523809523809523
MI,133,no,no,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,True,mid-term,358,623.0,1.7402234636871508
TN,140,no,no,0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,1,False,mid-term,299,553.5,1.851170568561873
VT,93,no,yes,32,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,2,False,mid-term,278,544.3,1.957913669064748
OK,52,no,yes,38,169.3,88,28.78,225.9,97,19.2,172.0,86,7.74,8.2,3,2.21,0,False,short-term,271,567.2,2.092988929889299
DE,64,no,yes,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,False,short-term,317,495.3,1.5624605678233439
ND,12,yes,no,0,216.7,117,36.84,116.5,126,9.9,220.0,110,9.9,9.8,4,2.65,2,False,short-term,353,553.2,1.5671388101983004
OR,48,no,no,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6.0,8.3,4,2.24,2,False,short-term,290,641.3,2.2113793103448276
NY,181,no,no,0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6.0,7,1.62,1,False,long-term,244,562.1,2.303688524590164
MO,168,no,yes,42,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2,False,long-term,279,474.9,1.7021505376344086
FL,155,no,no,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,False,mid-term,325,517.6,1.5926153846153848
ND,105,no,no,0,246.4,83,41.89,256.2,101,21.78,169.0,151,7.61,3.8,4,1.03,0,False,mid-term,335,671.6,2.004776119402985
NY,11,no,no,0,143.4,130,24.38,289.4,50,24.6,194.0,100,8.73,9.7,6,2.62,2,False,short-term,280,626.8,2.2385714285714284
ND,182,no,no,0,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8.0,5,2.16,2,False,long-term,322,561.5999999999999,1.7440993788819874
NY,104,no,no,0,156.2,93,26.55,193.0,54,16.41,222.7,94,10.02,13.1,5,3.54,1,False,mid-term,241,571.9,2.3730290456431535
OH,102,no,no,0,114.8,125,19.52,81.9,126,6.96,304.3,101,13.69,12.0,4,3.24,0,False,mid-term,352,501.0,1.4232954545454546
AL,122,no,no,0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0,False,mid-term,307,651.7,2.122801302931596
SC,41,no,no,0,143.6,117,24.41,152.4,108,12.95,194.4,110,8.75,8.6,3,2.32,1,False,short-term,335,490.4,1.4638805970149253
GA,132,no,no,0,176.7,132,30.04,244.1,80,20.75,176.3,120,7.93,9.1,4,2.46,2,False,mid-term,332,597.0999999999999,1.7984939759036143
WY,76,no,no,0,263.4,148,44.78,230.3,69,19.58,170.6,101,7.68,11.4,5,3.08,1,True,short-term,318,664.3,2.088993710691824
WV,13,no,no,0,146.4,74,24.89,148.5,92,12.62,216.7,96,9.75,11.3,3,3.05,1,False,short-term,262,511.59999999999997,1.9526717557251907
HI,115,no,yes,33,145.0,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,False,mid-term,367,581.8,1.5852861035422343
WV,67,no,no,0,167.8,91,28.53,167.7,69,14.25,110.3,71,4.96,8.4,12,2.27,1,False,short-term,231,445.8,1.92987012987013
LA,154,no,no,0,166.9,99,28.37,154.9,97,13.17,189.4,89,8.52,7.2,5,1.94,0,False,mid-term,285,511.20000000000005,1.793684210526316
AR,100,no,no,0,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2,False,mid-term,292,460.29999999999995,1.5763698630136984
AK,146,yes,no,0,133.0,65,22.61,262.8,93,22.34,214.3,128,9.64,11.2,3,3.02,1,False,mid-term,286,610.1,2.1332167832167834
DC,148,no,yes,11,252.9,129,42.99,284.3,88,24.17,262.8,99,11.83,12.3,1,3.32,1,False,mid-term,316,800.0,2.5316455696202533
AL,67,no,yes,28,95.0,94,16.15,291.2,73,24.75,159.6,114,7.18,10.0,2,2.7,2,False,short-term,281,545.8,1.9423487544483984
UT,161,yes,no,0,194.2,106,33.01,249.4,105,21.2,254.9,129,11.47,12.9,1,3.48,1,True,mid-term,340,698.5,2.054411764705882
KS,70,no,no,0,222.8,114,37.88,215.9,113,18.35,223.5,122,10.06,0.0,0,0.0,1,False,short-term,349,662.2,1.8974212034383955
MN,116,no,no,0,201.8,82,34.31,231.5,95,19.68,226.1,130,10.17,16.5,5,4.46,0,False,mid-term,307,659.4,2.1478827361563515
VA,99,no,yes,42,216.0,125,36.72,232.3,104,19.75,215.5,100,9.7,9.3,4,2.51,2,True,mid-term,329,663.8,2.017629179331307
UT,87,no,no,0,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1,False,mid-term,276,485.6,1.7594202898550726
IN,87,no,no,0,234.8,85,39.92,140.9,91,11.98,204.3,93,9.19,9.5,5,2.57,1,False,mid-term,269,580.0,2.1561338289962824
CT,70,no,no,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2,False,short-term,331,583.7,1.7634441087613295
DE,131,no,no,0,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2,False,mid-term,289,489.2,1.6927335640138408
VT,119,no,no,0,190.4,74,32.37,215.6,113,18.33,161.2,111,7.25,10.0,1,2.7,2,False,mid-term,298,567.2,1.9033557046979868
MO,119,no,yes,32,142.6,77,24.24,208.2,126,17.7,171.0,102,7.69,12.0,2,3.24,3,False,mid-term,305,521.8,1.7108196721311475
RI,87,yes,no,0,134.2,80,22.81,165.0,71,14.03,173.1,102,7.79,10.7,5,2.89,0,False,mid-term,253,472.29999999999995,1.866798418972332
CA,112,no,no,0,111.9,92,19.02,114.0,143,9.69,146.8,79,6.61,14.1,3,3.81,5,True,mid-term,314,372.70000000000005,1.1869426751592358
RI,75,no,no,0,122.8,89,20.88,211.3,104,17.96,261.4,91,11.76,10.7,2,2.89,2,False,short-term,284,595.5,2.096830985915493
CT,150,no,no,0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4,False,mid-term,299,648.9000000000001,2.170234113712375
IN,161,no,yes,38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0,False,mid-term,326,648.3000000000001,1.9886503067484664
FL,91,yes,yes,24,93.5,112,15.9,183.4,128,15.59,240.7,133,10.83,9.9,3,2.67,0,False,mid-term,373,517.5999999999999,1.3876675603217157
KS,124,no,no,0,158.6,104,26.96,211.2,77,17.95,179.3,104,8.07,10.2,8,2.75,3,False,mid-term,285,549.0999999999999,1.9266666666666663
NY,94,yes,no,0,243.2,109,41.34,147.0,88,12.5,94.9,99,4.27,7.2,4,1.94,4,False,mid-term,296,485.1,1.6388513513513514
TX,217,no,no,0,176.4,115,29.99,158.8,128,13.5,306.6,107,13.8,9.3,3,2.51,4,False,long-term,350,641.8000000000001,1.8337142857142859
RI,158,no,no,0,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0,False,mid-term,312,696.4000000000001,2.2320512820512826
NV,102,no,no,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,False,mid-term,274,628.5,2.2937956204379564
UT,85,no,no,0,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,False,mid-term,326,604.0,1.852760736196319
OK,79,no,no,0,147.0,72,24.99,165.7,102,14.08,243.2,107,10.94,8.4,9,2.27,1,False,short-term,281,555.9,1.978291814946619
MN,139,no,yes,25,96.2,112,16.35,178.9,70,15.21,182.1,84,8.19,12.9,10,3.48,2,False,mid-term,266,457.20000000000005,1.7187969924812032
NC,103,no,no,0,263.4,118,44.78,179.1,69,15.22,214.7,112,9.66,10.3,2,2.78,0,False,mid-term,299,657.2,2.1979933110367895
OR,98,yes,no,0,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,1,False,mid-term,245,438.5,1.7897959183673469
NH,78,no,no,0,162.3,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,2,False,short-term,302,595.3000000000001,1.9711920529801328
AK,50,no,no,0,183.6,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,1,False,short-term,324,444.79999999999995,1.3728395061728393
OR,161,no,no,0,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1,False,mid-term,273,462.20000000000005,1.6930402930402932
KS,67,no,no,0,201.4,101,34.24,97.6,122,8.3,202.5,119,9.11,7.0,3,1.89,0,False,short-term,342,501.5,1.4663742690058479
WV,86,no,yes,38,123.0,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1,False,mid-term,380,395.09999999999997,1.039736842105263
GA,92,no,no,0,208.0,125,35.36,198.9,76,16.91,76.4,97,3.44,8.6,6,2.32,0,False,mid-term,298,483.29999999999995,1.6218120805369125
NM,174,no,no,0,239.2,72,40.66,188.5,124,16.02,105.6,116,4.75,8.8,3,2.38,1,False,long-term,312,533.3,1.7092948717948717
OH,124,no,no,0,193.0,97,32.81,89.8,99,7.63,172.8,104,7.78,15.3,3,4.13,1,False,mid-term,300,455.6,1.5186666666666668
ND,132,no,yes,31,174.5,101,29.67,245.6,105,20.88,172.8,76,7.78,10.3,9,2.78,1,False,mid-term,282,592.9000000000001,2.1024822695035463
RI,190,no,yes,26,116.7,71,19.84,145.9,88,12.4,175.1,103,7.88,9.9,3,2.67,1,False,long-term,262,437.70000000000005,1.670610687022901
HI,101,no,no,0,93.8,127,15.95,150.0,104,12.75,241.1,116,10.85,10.7,2,2.89,1,False,mid-term,347,484.9,1.3974063400576369
WY,185,yes,yes,30,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,12.9,3,3.48,2,False,long-term,325,531.2,1.6344615384615386
NY,68,no,yes,29,239.5,82,40.72,203.8,105,17.32,167.8,70,7.55,9.9,6,2.67,0,False,short-term,257,611.1,2.3778210116731517
KS,117,no,yes,25,216.0,140,36.72,224.1,69,19.05,267.9,112,12.06,11.8,4,3.19,0,False,mid-term,321,708.0,2.205607476635514
LA,118,no,no,0,187.4,97,31.86,177.8,89,15.11,233.4,97,10.5,12.2,6,3.29,1,False,mid-term,283,598.6,2.1151943462897527
PA,124,no,no,0,167.4,119,28.46,233.2,143,19.82,109.6,115,4.93,10.3,5,2.78,0,False,mid-term,377,510.20000000000005,1.3533156498673742
NV,22,no,no,0,160.4,108,27.27,218.1,88,18.54,192.9,115,8.68,12.5,4,3.38,1,False,short-term,311,571.4,1.837299035369775
MN,75,no,no,0,143.2,92,24.34,209.1,142,17.77,173.0,96,7.79,11.9,9,3.21,1,False,short-term,330,525.3,1.5918181818181816
PA,134,no,no,0,205.3,122,34.9,240.5,155,20.44,179.1,107,8.06,5.0,9,1.35,1,False,mid-term,384,624.9,1.6273437499999999
MO,164,no,yes,25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1,False,long-term,247,420.70000000000005,1.7032388663967613
NY,44,no,no,0,143.2,77,24.34,169.8,114,14.43,215.8,77,9.71,7.6,4,2.05,1,False,short-term,268,528.8,1.9731343283582088
ME,177,no,no,0,232.8,106,39.58,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2,False,long-term,280,620.2,2.2150000000000003
NH,110,no,no,0,162.0,81,27.54,247.5,89,21.04,155.5,99,7.0,8.9,8,2.4,0,False,mid-term,269,565.0,2.100371747211896
WY,53,no,yes,27,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1,False,short-term,279,460.5,1.6505376344086022
NY,108,no,no,0,154.2,123,26.21,112.3,86,9.55,246.4,75,11.09,15.4,4,4.16,4,True,mid-term,284,512.9,1.8059859154929576
ME,80,no,no,0,322.3,113,54.79,222.0,95,18.87,162.8,123,7.33,6.7,8,1.81,0,True,short-term,331,707.0999999999999,2.136253776435045
MN,158,no,no,0,209.9,112,35.68,221.3,82,18.81,210.0,93,9.45,8.2,3,2.21,1,False,mid-term,287,641.2,2.234146341463415
OH,114,no,no,0,191.5,88,32.56,175.2,78,14.89,220.3,118,9.91,0.0,0,0.0,0,False,mid-term,284,587.0,2.066901408450704
NC,64,no,yes,19,291.1,150,49.49,226.7,123,19.27,219.1,67,9.86,7.5,2,2.03,1,False,short-term,340,736.9,2.1673529411764707
SD,88,no,no,0,215.6,115,36.65,216.2,85,18.38,171.3,65,7.71,11.8,1,3.19,3,False,mid-term,265,603.0999999999999,2.2758490566037732
UT,82,yes,no,0,208.8,101,35.5,213.7,87,18.16,175.1,86,7.88,12.4,6,3.35,3,False,mid-term,274,597.6,2.181021897810219
KY,111,no,no,0,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,12.3,5,3.32,3,False,mid-term,310,631.3,2.0364516129032255
MT,60,no,no,0,252.7,97,42.96,221.1,121,18.79,109.9,100,4.95,12.4,4,3.35,2,False,short-term,318,583.6999999999999,1.8355345911949683
NJ,113,no,no,0,132.1,72,22.46,247.5,107,21.04,246.2,123,11.08,6.9,6,1.86,3,False,mid-term,302,625.8,2.072185430463576
FL,109,no,no,0,217.0,115,36.89,207.0,142,17.6,268.0,106,12.06,8.2,4,2.21,1,False,mid-term,363,692.0,1.90633608815427
IN,105,no,yes,42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0,False,mid-term,253,566.6,2.2395256916996047
DE,85,no,no,0,211.5,100,35.96,184.6,88,15.69,164.3,131,7.39,13.3,4,3.59,2,False,mid-term,319,560.4000000000001,1.756739811912226
AL,131,no,no,0,153.4,86,26.08,198.5,81,16.87,164.4,83,7.4,10.4,3,2.81,0,False,mid-term,250,516.3,2.0652
ME,59,no,no,0,166.3,95,28.27,239.3,87,20.34,123.2,108,5.54,10.0,3,2.7,2,False,short-term,290,528.8000000000001,1.8234482758620691
SD,148,no,no,0,185.2,87,31.48,170.4,96,14.48,165.1,104,7.43,9.5,13,2.57,1,False,mid-term,287,520.7,1.8142857142857145
VA,210,no,no,0,104.6,121,17.78,149.5,71,12.71,255.1,67,11.48,6.5,8,1.76,2,False,long-term,259,509.2,1.966023166023166
AK,115,no,no,0,245.2,105,41.68,159.0,109,13.52,229.9,74,10.35,7.2,8,1.94,0,False,mid-term,288,634.1,2.2017361111111113
ID,106,no,no,0,274.4,120,46.65,198.6,82,16.88,160.8,62,7.24,6.0,3,1.62,1,False,mid-term,264,633.8,2.4007575757575754
RI,93,no,no,0,98.4,78,16.73,249.6,129,21.22,248.2,114,11.17,14.2,4,3.83,1,False,mid-term,321,596.2,1.8573208722741434
KY,57,no,yes,29,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13.0,2,3.51,1,False,short-term,324,754.7,2.329320987654321
ND,98,no,no,0,187.2,127,31.82,195.6,88,16.63,181.8,129,8.18,5.1,4,1.38,1,False,mid-term,344,564.5999999999999,1.6412790697674415
HI,157,no,no,0,276.2,95,46.95,165.8,119,14.09,151.6,79,6.82,2.2,4,0.59,3,False,mid-term,293,593.6,2.025938566552901
WI,116,no,yes,35,200.4,104,34.07,272.8,89,23.19,214.5,100,9.65,8.3,4,2.24,1,False,mid-term,293,687.7,2.347098976109215
WV,30,no,no,0,162.3,96,27.59,244.0,122,20.74,180.1,89,8.1,9.1,4,2.46,2,False,short-term,307,586.4,1.9100977198697067
NJ,111,no,no,0,176.9,128,30.07,102.8,56,8.74,213.7,84,9.62,10.5,2,2.84,4,True,mid-term,268,493.4,1.8410447761194029
KS,52,no,no,0,165.5,78,28.14,205.5,89,17.47,213.6,124,9.61,12.2,6,3.29,0,False,short-term,291,584.6,2.00893470790378
AL,72,no,no,0,217.8,93,37.03,189.7,113,16.12,182.6,91,8.22,10.4,5,2.81,4,False,short-term,297,590.1,1.986868686868687
NJ,135,no,yes,28,201.4,100,34.24,246.5,117,20.95,154.8,131,6.97,12.9,4,3.48,2,True,mid-term,348,602.7,1.731896551724138
NC,86,no,no,0,190.5,115,32.39,179.6,130,15.27,258.5,89,11.63,10.1,5,2.73,3,False,mid-term,334,628.6,1.8820359281437127
DE,98,no,yes,29,179.9,97,30.58,189.2,89,16.08,164.3,76,7.39,12.8,7,3.46,3,False,mid-term,262,533.4000000000001,2.03587786259542
WY,151,no,no,0,235.9,104,40.1,80.6,91,6.85,212.8,116,9.58,5.8,2,1.57,3,False,mid-term,311,529.3,1.7019292604501606
ID,118,no,no,0,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,0,False,mid-term,327,535.4,1.637308868501529
NY,117,no,no,0,144.6,115,24.58,258.8,66,22.0,253.2,113,11.39,7.4,9,2.0,2,False,mid-term,294,656.5999999999999,2.233333333333333
MO,55,no,no,0,189.0,100,32.13,118.5,99,10.07,248.1,87,11.16,17.1,6,4.62,0,False,short-term,286,555.6,1.9426573426573428
ID,82,no,no,0,101.0,93,17.17,155.6,104,13.23,304.4,93,13.7,13.3,2,3.59,0,False,mid-term,290,561.0,1.9344827586206896
IA,152,no,no,0,206.3,98,35.07,292.8,82,24.89,43.7,121,1.97,10.6,4,2.86,1,False,mid-term,301,542.8000000000001,1.8033222591362128
TN,108,no,yes,15,165.1,85,28.07,267.0,93,22.7,250.7,114,11.28,10.9,4,2.94,1,False,mid-term,292,682.8,2.3383561643835615
OH,98,no,no,0,165.0,129,28.05,202.6,113,17.22,172.3,94,7.75,12.5,7,3.38,1,True,mid-term,336,539.9000000000001,1.6068452380952383
IL,130,no,no,0,155.9,95,26.5,256.1,97,21.77,262.9,103,11.83,11.7,3,3.16,3,False,mid-term,295,674.9,2.2877966101694915
FL,136,yes,no,0,199.2,122,33.86,214.7,114,18.25,150.9,105,6.79,11.8,7,3.19,1,False,mid-term,341,564.8,1.6563049853372434
MA,47,no,no,0,155.3,116,26.4,188.2,85,16.0,247.0,73,11.12,12.3,4,3.32,3,False,short-term,274,590.5,2.1551094890510947
OK,189,no,no,0,208.3,106,35.41,236.7,123,20.12,179.1,120,8.06,11.3,5,3.05,3,False,long-term,349,624.1,1.7882521489971348
KY,107,no,no,0,157.1,79,26.71,162.6,124,13.82,150.0,138,6.75,12.1,6,3.27,1,False,mid-term,341,469.7,1.3774193548387097
MI,91,no,no,0,154.4,165,26.25,168.3,121,14.31,239.9,81,10.8,11.7,4,3.16,5,True,mid-term,367,562.6,1.5329700272479565
NE,159,no,no,0,189.1,105,32.15,246.1,147,20.92,242.0,106,10.89,10.4,5,2.81,1,True,mid-term,358,677.2,1.8916201117318436
VA,11,no,yes,24,131.5,98,22.36,230.2,111,19.57,283.7,87,12.77,10.0,3,2.7,2,False,short-term,296,645.4,2.180405405405405
NY,167,no,no,0,166.4,85,28.29,243.2,135,20.67,229.2,95,10.31,9.9,5,2.67,1,False,long-term,315,638.8,2.027936507936508
MT,111,no,no,0,142.3,75,24.19,122.8,106,10.44,229.5,94,10.33,12.8,9,3.46,2,False,mid-term,275,494.6,1.7985454545454547
VT,99,no,yes,19,87.7,103,14.91,223.0,86,18.96,182.3,112,8.2,7.3,4,1.97,2,False,mid-term,301,493.0,1.6378737541528239
KS,159,no,yes,19,184.1,78,31.3,194.5,71,16.53,225.6,101,10.15,16.9,3,4.56,0,False,mid-term,250,604.2,2.4168000000000003
